car,price,body,mileage,engV,engType,registration,year,model,drive
VAZ,389.025,vagon,1,1.3,Petrol,yes,1983,2102,
UAZ,8000,crossover,1,2.5,Petrol,yes,1977,469,full
VAZ,700,vagon,1,1.8,Petrol,yes,1981,2102,rear
GAZ,259.35,sedan,1,2.4,Other,yes,1959,21,rear
Renault,10396.23,vagon,1,1.2,Petrol,yes,2015,Logan,front
Geely,6261.45,sedan,1,1.5,Petrol,yes,2015,CK,front
Renault,9658.935,sedan,1,1.2,Petrol,yes,2016,Logan,front
GAZ,0,crossover,1,1.8,Petrol,yes,1963,69,full
Mercedes-Benz,81500,sedan,1,3,Diesel,yes,2016,GLE-Class,full
VAZ,2600,vagon,1,1.9,Diesel,yes,2001,2104,rear
VAZ,833.625,sedan,1,1.2,Gas,yes,1984,2101,rear
Mazda,2350,sedan,1,2,Diesel,yes,1990,626,front
VAZ,1100,sedan,1,1.6,Petrol,yes,1977,2101,rear
Opel,2800,sedan,1,2,Gas,yes,1988,Omega,rear
Mitsubishi,11800,sedan,1,1.5,Gas,yes,2010,Lancer X,
Moskvich-Izh,1111.46295,van,1,1.8,Gas,yes,2003,2117,
UAZ,5500,crossover,1,2.4,Petrol,yes,2016,469,full
Lancia,1950,sedan,1,2.5,Diesel,yes,1990,Thema,front
Mercedes-Benz,0,crossover,1,3,Diesel,yes,2016,GLS 350,full
Renault,7150,vagon,1,1.5,Diesel,yes,2005,Megane,front
VAZ,3800,sedan,1,1.6,Petrol,yes,2008,2115,front
Opel,1400,sedan,1,2,Petrol,yes,1988,Omega,rear
VAZ,1650,other,1,1.3,Gas,yes,1988,2105,rear
Volkswagen,9750,van,1,1.9,Diesel,yes,2004,T5 (Transporter) ����.,
VAZ,0,sedan,1,1.7,Gas,yes,1973,2106,rear
Chevrolet,58500,other,1,2,Petrol,yes,2016,Camaro,rear
Volkswagen,2750,vagon,1,1.9,Diesel,no,2001,Passat B5,front
Mercedes-Benz,11299,van,1,2.2,Other,yes,2006,Vito ����.,rear
Mercedes-Benz,18500,crossover,1,3.5,Gas,yes,2006,ML 350,full
VAZ,2700,crossover,1,1.7,Petrol,yes,1995,2121,full
Fiat,4000,other,1,2.8,Diesel,yes,2000,Ducato ����.,front
Moskvich-AZLK,11000,sedan,1,1.8,Petrol,yes,1953,401,rear
Ford,1400,sedan,1,2,Gas,yes,1990,Scorpio,rear
BMW,117000,crossover,1,1.8,Other,yes,2016,X6 M,
VAZ,4299,crossover,1,1.7,Petrol,yes,1979,2121,full
Mazda,1700,hatch,1,1.3,Petrol,yes,1986,323,front
Renault,4500,other,1,1.5,Diesel,yes,2007,Kangoo ����.,front
VAZ,2000,sedan,1,1.5,Gas,yes,1994,21099,front
UAZ,5700,crossover,1,2.4,Petrol,yes,2002,469,full
Skoda,25013.23305,crossover,1,1.8,Petrol,yes,2016,Yeti,full
Skoda,14827.7064,hatch,1,1.2,Petrol,yes,2016,Spaceback,front
VAZ,2800,hatch,1,1.3,Gas,yes,1989,2109,front
BMW,65500,crossover,1,2,Diesel,yes,2016,X5,full
UAZ,5500,crossover,1,2.9,Other,yes,1978,469,full
VAZ,2500,sedan,1,1.5,Petrol,yes,1993,21099,front
Volkswagen,23999,sedan,1,1.6,Diesel,yes,2016,Jetta,front
Volkswagen,74000,crossover,1,3,Diesel,yes,2015,Touareg,full
Daewoo,4000,sedan,1,1.5,Gas,yes,2007,Lanos,front
Land Rover,0,crossover,1,5,Petrol,yes,2016,Range Rover,full
Mercedes-Benz,105000,crossover,1,3,Diesel,yes,2016,GLS 350,full
UAZ,3000,other,1,1.8,Other,yes,1985,3303,full
Lexus,0,crossover,1,2,Petrol,yes,2016,RX 200,full
Toyota,135000,crossover,1,4.5,Diesel,yes,2011,Land Cruiser 200,full
VAZ,2400,hatch,1,1.3,Petrol,yes,1990,2108,front
Volkswagen,4600,hatch,1,1.8,Gas,yes,1996,Golf III,front
Skoda,11485.5,hatch,1,1,Petrol,yes,2015,Fabia,front
BMW,3500,hatch,1,2,Petrol,yes,2006,120,rear
Volkswagen,4200,sedan,1,1.4,Petrol,yes,2012,Golf VI,front
BMW,33500,sedan,1,1.5,Petrol,yes,2015,318,rear
Mitsubishi,2500,crossover,1,2.5,Diesel,yes,2007,L 200,full
Kia,17777,crossover,1,2.4,Petrol,yes,2010,Sorento,full
Audi,3500,sedan,1,2,Other,yes,1988,90,front
Moskvich-AZLK,400,sedan,1,10,Petrol,yes,1985,2140,rear
BMW,62900,crossover,1,2,Diesel,yes,2016,X5,full
BMW,6500,sedan,1,3,Petrol,yes,1995,730,rear
Mercedes-Benz,1950,sedan,1,2,Diesel,yes,1979,200,rear
Opel,5300,hatch,1,2,Gas,yes,1997,Vectra B,front
Mitsubishi,23900,crossover,1,1.8,Petrol,yes,2015,ASX,front
VAZ,0,hatch,1,1.5,Gas,yes,1998,2109 (�������),front
Chevrolet,94400,van,1,5.3,Petrol,yes,2014,Express ����.,full
BMW,4950,sedan,1,3,Petrol,yes,1996,730,rear
Audi,44000,hatch,1,1.4,Petrol,yes,2016,A5,
Subaru,38900,crossover,1,2,Diesel,yes,2016,Forester,full
Subaru,0,crossover,1,2,Diesel,yes,2016,Forester,full
Honda,0,crossover,1,1.6,Diesel,yes,2016,CR-V,full
Toyota,0,crossover,1,4.5,Diesel,yes,2016,Land Cruiser 200,full
Volkswagen,31500,crossover,1,2,Petrol,yes,2014,Tiguan,full
BMW,11900,sedan,1,2.8,Petrol,yes,2002,528,rear
VAZ,1400,sedan,1,1.5,Gas,yes,1996,2106,rear
Audi,2550,vagon,1,2.5,Diesel,no,1998,A6,front
Skoda,8200,sedan,1,18,Gas,yes,2005,Superb,
Toyota,39500,other,1,2.8,Diesel,yes,2016,Hilux,full
Moskvich-AZLK,1500,hatch,1,1.4,Petrol,yes,1964,403,rear
VAZ,5990,crossover,1,1.7,Petrol,yes,1981,2121,full
Mazda,1500,sedan,1,2,Gas,yes,1986,626,front
Volkswagen,8350,van,1,1.6,Diesel,yes,2011,Caddy ����.,front
Mercedes-Benz,45000,sedan,1,1.6,Petrol,yes,2015,C-Class,
Citroen,4500,van,1,2,Diesel,yes,2000,Berlingo ����.,front
Volkswagen,1296.75,sedan,1,1.6,Petrol,yes,1980,Jetta,
Chevrolet,44000,other,1,2,Petrol,yes,2016,Camaro,rear
Great Wall,8800,sedan,1,1.5,Petrol,yes,2014,C30,front
Honda,18500,sedan,1,1.5,Petrol,yes,2016,Civic,front
Lexus,45300,crossover,1,2,Petrol,yes,2015,NX 200,full
Toyota,0,crossover,1,2.2,Diesel,yes,2016,Rav 4,full
UAZ,1750,crossover,1,2.4,Gas,yes,1982,469�,full
Mercedes-Benz,2400,sedan,1,2,Petrol,no,2001,C-Class,rear
Daewoo,3000,sedan,1,1.3,Gas,yes,2004,Lanos,front
Cadillac,145000,crossover,1,6.2,Petrol,yes,2016,Escalade,full
VAZ,1900,sedan,1,1.8,Other,yes,2003,2107,
Honda,18500,sedan,1,1.8,Other,yes,2016,City,
VAZ,2750,hatch,1,1.5,Petrol,yes,2006,21093,front
Chery,9000,hatch,1,1.6,Petrol,yes,2011,M11,front
Ford,68900,other,1,5,Petrol,yes,2016,Mustang GT,rear
Opel,10999,sedan,1,1.4,Petrol,yes,2008,Astra G,front
Smart,19999,other,1,1.8,Other,yes,2014,Fortwo,rear
Peugeot,16300,vagon,1,1.2,Petrol,yes,2016,2008,front
Volkswagen,40000,sedan,1,1.4,Petrol,yes,2015,Passat B8,
Volkswagen,6000,other,1,2.5,Diesel,yes,1999,LT ����.,
Volkswagen,21500,sedan,1,1.4,Petrol,yes,2015,Jetta,front
Ford,64300,crossover,1,3.5,Petrol,yes,2013,Explorer,full
GAZ,0,sedan,1,2.4,Petrol,yes,1969,21,front
Audi,12450,vagon,1,2,Diesel,yes,2008,A4,front
Ford,56900,other,1,2.3,Petrol,yes,2016,Mustang,rear
VAZ,1250,hatch,1,1.3,Petrol,yes,1988,2108,front
BMW,10600,sedan,1,3,Diesel,yes,2000,530,rear
Lexus,87200,crossover,1,3.5,Petrol,yes,2016,RX 350,full
Mitsubishi,5500,crossover,1,2,Petrol,yes,1986,Pajero,full
Jeep,63500,crossover,1,3.6,Petrol,yes,2016,Wrangler,full
Smart,6200,other,1,1,Petrol,yes,2003,Fortwo,
VAZ,1800,hatch,1,1.3,Gas,yes,1991,2108,front
Ford,1199,hatch,1,1.3,Petrol,yes,1988,Escort,front
Dodge,81000,other,1,3,Diesel,yes,2016,RAM,full
UAZ,2500,crossover,1,2.4,Petrol,yes,1995,31512,full
Mercedes-Benz,169000,van,1,3,Diesel,yes,2014,Sprinter 319 ����.,full
GAZ,2350,sedan,1,1.8,Petrol,yes,1969,21,
VAZ,1600,sedan,1,1.8,Petrol,yes,1985,2106,rear
Mercedes-Benz,0,crossover,1,3,Petrol,yes,2016,GLE-Class,full
Mercedes-Benz,4999,sedan,1,2.8,Petrol,yes,1997,E-Class,rear
Ford,0,other,1,5,Petrol,yes,2014,Mustang,rear
Renault,6700,van,1,1.8,Diesel,yes,2012,Kangoo ����.,front
Opel,2900,hatch,1,1.4,Petrol,yes,1992,Astra F,front
Skoda,22999,other,1,1.6,Diesel,yes,2015,Octavia A7,
Chevrolet,54000,other,1,2,Petrol,yes,2015,Camaro,rear
Volkswagen,15900,vagon,1,2,Diesel,yes,2012,T6 (Transporter) ����,front
Renault,7200,van,1,1.5,Diesel,yes,2012,Kangoo ����.,front
Chevrolet,56800,other,1,2,Petrol,yes,2016,Camaro,rear
Toyota,68500,van,1,3.5,Petrol,yes,2016,Sienna,full
Mitsubishi,1550,hatch,1,1.8,Diesel,yes,1990,Galant,front
Opel,3999,other,1,2,Petrol,yes,1979,Manta,rear
Renault,6750,vagon,1,1.5,Diesel,yes,2004,Scenic,front
VAZ,907.725,sedan,1,1.8,Other,yes,1986,2106,rear
BMW,129222,sedan,2,5,Petrol,yes,2016,750,full
BMW,104999,crossover,2,3,Diesel,yes,2016,X5,full
BMW,104999,crossover,2,3,Diesel,yes,2016,X5,full
BMW,42900,sedan,2,2,Petrol,yes,2016,520,rear
Nissan,25000,hatch,2,1.8,Other,yes,2015,Leaf,front
Lexus,115500,crossover,2,4.5,Diesel,yes,2016,LX 570,full
Mercedes-Benz,31669,hatch,2,1.8,Other,yes,2015,B-Class Electric Drive,
Mercedes-Benz,39900,hatch,2,1.8,Other,yes,2015,B-Class Electric Drive,front
Volkswagen,18600,sedan,2,1.6,Petrol,yes,2015,Jetta,front
Ford,1000,hatch,2,1.4,Petrol,yes,1985,Fiesta,front
Skoda,21300,sedan,2,1.4,Petrol,yes,2016,Octavia A7,front
Ford,28999,sedan,2,2.5,Petrol,yes,2015,Mondeo,front
Mercedes-Benz,195000,crossover,2,5.5,Petrol,yes,2016,GLS 63,full
Volkswagen,61000,crossover,2,3,Diesel,yes,2016,Touareg,full
Jaguar,47794.5,sedan,2,2,Diesel,yes,2015,XF,rear
VAZ,2800,sedan,2,1.2,Petrol,yes,1971,2101,rear
VAZ,3800,crossover,2,1.7,Gas,yes,1995,2121,full
Volkswagen,21500,sedan,2,1.6,Diesel,yes,2016,Jetta,front
Lexus,42900,crossover,2,2.7,Petrol,yes,2014,RX 270,front
Audi,0,sedan,2,3,Diesel,yes,2015,A8,full
Toyota,97500,crossover,2,4.6,Petrol,yes,2016,Land Cruiser 200,full
Nissan,17800,sedan,2,1.6,Petrol,yes,2016,Sentra,front
BMW,42900,sedan,2,2,Petrol,yes,2016,520,rear
Nissan,16500,sedan,2,1.8,Other,yes,2015,Leaf,front
Volkswagen,24800,sedan,2,1.6,Diesel,yes,2016,Jetta,front
Opel,1400,other,2,1.3,Petrol,yes,1986,Kadett,front
Ford,1500,hatch,2,2,Gas,yes,1987,Sierra,rear
Volkswagen,2900,sedan,2,1.8,Petrol,yes,1989,Passat B3,front
Audi,30999,sedan,2,1.4,Petrol,yes,2016,A3,front
BMW,137000,crossover,2,4.4,Petrol,yes,2016,X5 M,full
Toyota,36500,crossover,2,3,Diesel,yes,2014,Hilux,full
Peugeot,13700,hatch,2,1.2,Petrol,yes,2016,208,front
Fiat,1600,other,2,1,Petrol,yes,1992,Panda,front
�UAZ,5950,crossover,2,1.7,Petrol,yes,2004,1301,full
Skoda,6700,hatch,2,1.4,Gas,yes,2006,Fabia,
ZAZ,600,sedan,2,1.1,Petrol,yes,1993,1102 ������,front
Renault,20007,sedan,2,1.5,Diesel,yes,2015,Fluence,front
Volvo,40300,crossover,2,2,Diesel,yes,2016,XC60,
Mercedes-Benz,8500,sedan,3,3.2,Diesel,yes,2000,E-Class,rear
Mercedes-Benz,2400,sedan,3,3,Diesel,yes,1998,E-Class,front
Mercedes-Benz,249999,other,3,5.5,Petrol,yes,2016,S 63 AMG,full
Nissan,95000,other,3,3.8,Petrol,yes,2013,GT-R,
Mercedes-Benz,42900,hatch,3,1.8,Other,yes,2016,B-Class Electric Drive,front
Mercedes-Benz,86000,crossover,3,3,Diesel,yes,2016,GLS 350,full
VAZ,1800,vagon,3,1.5,Petrol,yes,1987,2104,rear
Mercedes-Benz,57000,crossover,3,2.2,Diesel,yes,2015,ML 250,full
Volkswagen,3500,sedan,3,1.8,Petrol,yes,1991,Passat B3,front
Toyota,88000,crossover,3,4.5,Diesel,yes,2016,Land Cruiser 200,full
Volkswagen,24000,sedan,3,1.6,Diesel,yes,2016,Jetta,front
Hyundai,17500,vagon,3,1.6,Diesel,yes,2014,i30,front
VAZ,5600,hatch,3,1.6,Petrol,yes,2012,2114,front
Mercedes-Benz,85000,van,3,2.2,Diesel,yes,2016,V 250,full
Geely,7300,sedan,3,1.5,Petrol,yes,2015,GC6,front
Ford,20900,hatch,3,1.8,Other,yes,2015,Focus Electric,front
UAZ,1000,crossover,3,2.4,Petrol,yes,1986,469�,full
BMW,52222,hatch,3,2,Diesel,yes,2016,4 Series Gran Coupe,full
Subaru,21000,sedan,3,2.5,Petrol,yes,2007,Impreza WRX STI,full
ZAZ,7898.319,sedan,3,1.5,Other,yes,2014,Vida,front
Mercedes-Benz,35300,sedan,3,1.6,Petrol,yes,2014,CLA 200,front
Nissan,87777,other,3,3.8,Petrol,yes,2010,GT-R,full
ZAZ,370.5,sedan,3,1.1,Petrol,yes,1989,968,rear
Smart,3200,other,3,0.6,Petrol,yes,1999,Forfour,rear
Toyota,63000,crossover,3,4.2,Diesel,yes,2013,Land Cruiser 76,full
Ford,1200,sedan,3,2,Petrol,yes,1986,Sierra,rear
Volkswagen,19100,sedan,4,1.6,Other,yes,2016,Jetta,front
Tesla,139600,sedan,4,1.8,Other,yes,2015,Model S,full
Audi,90999,sedan,4,3,Diesel,yes,2015,A8,full
BMW,6800,sedan,4,2.8,Gas,yes,1995,528,rear
BMW,0,crossover,4,4.4,Petrol,yes,2016,X5 M,full
Lexus,47500,crossover,4,2.7,Petrol,yes,2015,RX 270,front
Mazda,20400,hatch,4,1.5,Petrol,yes,2015,3,front
Toyota,46500,other,4,3,Diesel,yes,2016,Hilux,full
Skoda,19900,other,4,1.4,Diesel,yes,2015,Rapid,front
Mazda,2700,sedan,4,1.8,Petrol,yes,1994,626,front
Porsche,63500,crossover,4,3,Petrol,yes,2015,Macan,full
Nissan,19900,crossover,4,1.6,Petrol,yes,2015,Juke,front
Acura,38200,sedan,4,2.4,Petrol,yes,2015,TLX,front
BMW,115800,crossover,4,3,Diesel,yes,2016,X5 M,full
BMW,42000,sedan,5,2,Petrol,yes,2016,520,rear
BMW,0,crossover,5,3,Diesel,yes,2016,X6,full
Mercedes-Benz,99000,van,5,1.6,Diesel,yes,2013,Viano ����.,front
BMW,38888,vagon,5,0.65,Other,yes,2015,I3,rear
BMW,46000,sedan,5,2,Petrol,yes,2016,520,rear
BMW,47000,other,5,2,Petrol,yes,2014,Z4,rear
Tesla,60000,sedan,5,1.8,Other,yes,2014,Model S,rear
Tesla,60500,sedan,5,1.8,Other,yes,2015,Model S,rear
Moskvich-AZLK,1100,hatch,5,1.7,Petrol,yes,1994,2141,front
BMW,0,crossover,5,4.4,Petrol,yes,2015,X5 M,full
VAZ,1799,sedan,5,1.3,Gas,yes,1987,2105,rear
VAZ,4100,other,5,1.6,Gas,yes,2008,2170,front
Peugeot,18000,vagon,5,1.6,Petrol,yes,2015,2008,front
Kia,22000,other,5,1.6,Petrol,yes,2016,Koup,full
VAZ,2000,other,5,1.5,Petrol,yes,1990,2108,front
Nissan,2500,sedan,5,3,Gas,yes,1988,Maxima,front
BMW,47000,other,5,2,Petrol,yes,2014,Z4,rear
VAZ,5100,crossover,5,1.7,Petrol,yes,2000,2121,full
Hyundai,5000,van,5,2.5,Diesel,yes,1999,H 200 ����.,rear
Ford,23500,other,5,2.2,Diesel,yes,2014,Ranger,full
Citroen,10600,hatch,5,1,Petrol,yes,2014,C1,front
Porsche,0,sedan,5,4.8,Petrol,yes,2015,Panamera,full
VAZ,670,sedan,5,1.5,Petrol,yes,1987,2105,rear
Toyota,2999,vagon,5,1.3,Petrol,yes,1989,Corolla,front
Citroen,2850,sedan,5,1.6,Diesel,yes,2013,C-Elysee,front
BMW,39900,sedan,5,2,Petrol,yes,2016,520,rear
VAZ,1500,sedan,5,1.6,Petrol,yes,2007,2107,rear
BMW,39333,sedan,6,2,Petrol,yes,2016,520,
Mercedes-Benz,250000,other,6,5.5,Petrol,yes,2016,S 63 AMG,full
Land Rover,168000,crossover,6,4.4,Diesel,yes,2015,Range Rover,full
Ford,16400,hatch,6,1,Petrol,yes,2015,Focus,front
Peugeot,26000,sedan,6,2,Diesel,yes,2014,508,
Chevrolet,0,van,6,5.3,Gas,yes,2012,Express ����.,full
Mazda,19900,sedan,6,1.5,Petrol,yes,2014,3,full
Skoda,33900,sedan,6,1.8,Petrol,yes,2016,Superb,front
BMW,0,crossover,6,4.4,Petrol,yes,2016,X5 M,full
Hyundai,13000,sedan,6,1.4,Petrol,yes,2012,Accent,front
Mercedes-Benz,0,sedan,6,3,Diesel,yes,2014,S 350,full
Jeep,86700,crossover,6,3.8,Petrol,yes,2011,Wrangler,full
Tesla,159600,sedan,7,1.8,Other,yes,2016,Model S,rear
Porsche,115000,other,7,3.8,Petrol,yes,2013,911,full
BMW,52000,crossover,7,2,Diesel,yes,2015,X1,full
Geely,8200,sedan,7,1.5,Petrol,yes,2014,Emgrand 7 (EC7),front
VAZ,4800,sedan,7,1.6,Gas,yes,2013,2115,front
Hyundai,12000,hatch,7,1.4,Petrol,yes,2013,i30,front
Nissan,12500,hatch,7,1.2,Petrol,yes,2015,Micra,front
Hyundai,9200,hatch,7,1.2,Petrol,yes,2011,i10,front
Toyota,30500,sedan,7,2.5,Gas,yes,2015,Camry,
Chevrolet,0,van,7,5.3,Gas,yes,2012,Express ����.,full
Ferrari,130000,other,7,4.3,Petrol,yes,2011,California,rear
VAZ,6500,crossover,7,1.8,Gas,yes,2015,2121,full
VAZ,9500,crossover,7,1.7,Petrol,yes,2015,2121,full
JAC,11900,crossover,7,2,Gas,yes,2014,S5,front
BMW,133000,crossover,7,4.4,Petrol,yes,2015,X5 M,full
Smart,11900,other,7,1,Petrol,yes,2014,Fortwo,rear
VAZ,1300,sedan,7,1.2,Petrol,yes,1984,2105,rear
Lexus,43000,sedan,7,2.5,Petrol,yes,2014,GS 250,rear
BMW,0,crossover,8,2,Diesel,yes,2016,X5,full
Tesla,58000,sedan,8,1.8,Other,yes,2013,Model S,front
BMW,77777,sedan,8,4.4,Petrol,yes,2014,750,full
Nissan,18999,hatch,8,1.8,Other,yes,2013,Leaf,front
VAZ,3500,sedan,8,1.6,Other,yes,2010,2107,rear
ZAZ,5700,sedan,8,1.5,Petrol,yes,2014,Forza,front
MINI,27800,hatch,8,1.5,Petrol,yes,2014,Cooper,front
Daewoo,5500,hatch,8,0.8,Petrol,yes,2013,Matiz,front
Nissan,11000,hatch,8,1.4,Petrol,yes,2013,Note,front
Mercedes-Benz,38800,hatch,8,1.8,Other,yes,2015,B-Class Electric Drive,front
ZAZ,8436.285,sedan,8,1.5,Gas,yes,2015,Vida,front
Mercedes-Benz,160000,other,8,4.6,Petrol,yes,2015,S 500,full
Daewoo,4650,sedan,8,1.3,Petrol,yes,2012,Sens,
BMW,77777,sedan,8,4.4,Petrol,yes,2014,750,full
Porsche,117777,hatch,9,4.8,Petrol,yes,2014,Panamera,full
Nissan,18500,hatch,9,1.8,Other,yes,2015,Leaf,front
Ford,45000,other,9,2.3,Petrol,yes,2015,Mustang,rear
Porsche,117777,hatch,9,4.8,Petrol,yes,2014,Panamera,full
Daewoo,4100,other,9,8,Petrol,yes,2008,Matiz,front
Mazda,25800,sedan,9,2,Petrol,yes,2016,6,front
Tesla,56000,sedan,9,1.8,Other,yes,2014,Model S,rear
Kia,7500,hatch,9,1.4,Petrol,yes,2008,Rio,front
Land Rover,106000,crossover,9,5,Petrol,yes,2013,Range Rover,full
Dacia,6600,sedan,9,1.4,Petrol,yes,2008,Logan,front
Mercedes-Benz,29999,hatch,9,1.8,Other,yes,2015,B-Class Electric Drive,front
Hyundai,13999,sedan,9,1.4,Diesel,yes,2014,i30,front
Mercedes-Benz,0,sedan,9,3,Diesel,yes,2014,S 350,full
ZAZ,7039.5,sedan,9,1.5,Gas,yes,2015,Lanos,front
Mercedes-Benz,125000,sedan,9,3,Diesel,yes,2014,S 350,full
Lexus,50500,crossover,9,2,Petrol,yes,2016,NX 200,full
Audi,12000,sedan,9,1.8,Petrol,no,2015,A4,
VAZ,649,sedan,9,1.2,Petrol,yes,1977,2101,rear
Mercedes-Benz,0,crossover,10,4.7,Petrol,yes,2016,GLS 500,full
Opel,3950,hatch,10,1.6,Gas,yes,1992,Astra F,front
BMW,85555,sedan,10,3,Diesel,yes,2015,640,full
Mazda,18900,sedan,10,1.5,Petrol,yes,2014,3,front
�UAZ,0,other,10,1.5,Petrol,yes,1991,969 ������,full
Nissan,11900,hatch,10,1.2,Petrol,yes,2015,Micra,front
Toyota,600,sedan,10,1.5,Petrol,yes,1979,Corolla,rear
Audi,3150,sedan,10,2.8,Petrol,yes,1991,100,front
Volkswagen,2600,van,10,2.4,Diesel,yes,1988,LT ����.,rear
VAZ,650,sedan,10,1.3,Petrol,yes,1982,2111,rear
Renault,13500,hatch,10,1.6,Petrol,yes,2014,Megane,front
Mercedes-Benz,46900,other,10,2.2,Diesel,yes,2012,E-Class,rear
Kia,12000,sedan,10,2,Petrol,yes,2009,Magentis,front
Nissan,22500,hatch,10,1.8,Other,yes,2015,Leaf,front
VAZ,1250,sedan,10,1.5,Petrol,yes,1989,2107,rear
VAZ,1300,sedan,10,1.6,Petrol,yes,1989,2106,rear
UAZ,8100,crossover,10,2.4,Petrol,yes,2015,31514,full
Chevrolet,75000,other,10,6.2,Petrol,yes,2011,Corvette,rear
VAZ,1999,hatch,10,1.3,Petrol,yes,1993,2109,front
Volkswagen,1300,other,10,1.6,Diesel,yes,1984,T2 (Transporter),rear
Peugeot,1250,sedan,10,1.9,Gas,yes,1990,405,front
VAZ,463.125,sedan,10,1.3,Petrol,yes,1979,2101,rear
Opel,3300,hatch,10,1.8,Gas,yes,1993,Vectra A,front
BMW,5900,sedan,10,2.8,Petrol,yes,1989,328,rear
BMW,85555,sedan,10,3,Other,yes,2015,6 Series Gran Coupe,full
